Action;CategoryPath;ID;Name;Code;Description;ShortDescription;Brand;Price;RRP;Image1;Image2;Image3;Image4;Image5;MetaTitle;MetaDescription;MetaKeywords;Stock;Weight;TaxRateID;Condition;GTIN;MPN;SpecialOffer;OrderLocation;OrderNote;Hidden;Image1Address;Image2Address;WebAddress;VariantNames;VariantItem1;VariantItem2;VariantItem3;VariantItem4;VariantItem5;VariantDefault;Image3Address;Image4Address;Image5Address;CategoryManagement;RelatedProducts;OptionName;OptionSize;OptionType;OptionValidation;OptionItemName;OptionItemPriceExtra;OptionItemOrder
Product;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;;;;;;;;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;Talla;S;;;;;Yes;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;Talla;M;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;Talla;L;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;Color;Blanco;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;Color;Rojo;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;Color;Naranja;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;835;Bikini besame;LFNSSM-B-101;"<p>Bikini flecos con braguita.  </p>
<p>Sensacional bikini sin aro y tirantes que se enganchan al cuello en forma de V.</p>
<p>Elige el color que más te guste.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Espectacular bikini con flecos y anillas doradas en los laterales de la braguita.";Lencería Finíssima;13.50;16.34;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1011.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1013.jpg;;Color;Azul Celeste;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1014.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10119.jpg;;;;;;;;;;
Product;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;;;;;;;;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;Talla;S;;;;;Yes;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;Talla;M;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;Talla;L;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;Color;Negro;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;Color;Azul;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;Color;Rojo;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product Variant;Home > Verano > Bikinis;838;Bikini Pasión;LFNSSM-B-104;"<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Bikini pasión con braguita.  </p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Sensacional bikini con aro y tirantes que se enganchan al cuello en forma de V.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">79% Naylon.</p>
<p style=""margin: 0.5em 0px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; color: #666666; font-family: Arial; line-height: 20px; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">21% Elastano.</p>";"Sensacional bikini en diferentes diseño.";Lencería Finíssima;16.50;19.97;Image Assigned;Image Assigned;Image Assigned;Image Assigned;No Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-1045.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_2.jpg;;Color;Leopardo;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-104_4.jpg;;;;;;;;;;
Product;Home > Verano > Bikinis;839;Bikini Colores;LFNSSM-B-105;"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Bikini tres tiras.";Lencería Finíssima;15.00;18.15;Image Assigned;Image Assigned;Image Assigned;Image Assigned;Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg;;;;;;;;;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;;;;;;;;;
Product Variant;Home > Verano > Bikinis;839;Bikini Colores;LFNSSM-B-105;"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Bikini tres tiras.";Lencería Finíssima;15.00;18.15;Image Assigned;Image Assigned;Image Assigned;Image Assigned;Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg;;Talla;S;;;;;Yes;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;;;;;;;;;
Product Variant;Home > Verano > Bikinis;839;Bikini Colores;LFNSSM-B-105;"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Bikini tres tiras.";Lencería Finíssima;15.00;18.15;Image Assigned;Image Assigned;Image Assigned;Image Assigned;Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg;;Talla;M;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;;;;;;;;;
Product Variant;Home > Verano > Bikinis;839;Bikini Colores;LFNSSM-B-105;"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Bikini tres tiras.";Lencería Finíssima;15.00;18.15;Image Assigned;Image Assigned;Image Assigned;Image Assigned;Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg;;Talla;L;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;;;;;;;;;
Product Variant;Home > Verano > Bikinis;839;Bikini Colores;LFNSSM-B-105;"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Bikini tres tiras.";Lencería Finíssima;15.00;18.15;Image Assigned;Image Assigned;Image Assigned;Image Assigned;Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg;;Color;Verde;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;;;;;;;;;
Product Variant;Home > Verano > Bikinis;839;Bikini Colores;LFNSSM-B-105;"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Bikini tres tiras.";Lencería Finíssima;15.00;18.15;Image Assigned;Image Assigned;Image Assigned;Image Assigned;Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg;;Color;Blanco;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;;;;;;;;;
Product Variant;Home > Verano > Bikinis;839;Bikini Colores;LFNSSM-B-105;"<p>Bikini colores con braguita.  </p>
<p>Sensacional bikini sin aro, diseño palabra de honor.</p>
<p>Incluye tirantes a juego.</p>
<p>79% Naylon.</p>
<p>21% Elastano.</p>";"Bikini tres tiras.";Lencería Finíssima;15.00;18.15;Image Assigned;Image Assigned;Image Assigned;Image Assigned;Image Assigned;;;;999;0;1;;;;No;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-10511.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_2.jpg;;Color;Rojo;;;;;No;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_3.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_4.jpg;http://www.lenceriafinissima.com/images/stories/virtuemart/product/b-105_5.jpg;;;;;;;;;
